No,Name,Initial Quantity,Quantity Added,Purchases/Transfers,Total Initial+Added,Remaining,Sold,Unit Price,Total
1,33 export,0.000,48.000,48.000,48.000,-154.000,202.000,10000.00,2020000.00
2,Beaufort,0.000,48.000,48.000,48.000,39.000,9.000,10000.00,90000.00
3,Black label,0.000,3.000,3.000,3.000,2.000,1.000,10000.00,10000.00
4,Absolut vodka,0.000,3.000,3.000,3.000,-5.000,8.000,140000.00,1120000.00
5,Blue label,0.000,3.000,3.000,3.000,0.000,3.000,140000.00,420000.00
6,Djino,0.000,48.000,48.000,48.000,46.000,2.000,5000.00,10000.00
7,Sucres,0.000,48.000,48.000,48.000,33.000,15.000,5000.00,75000.00
8,Ailes des poulets a la sauce pimentee,0.000,5.000,5.000,5.000,-1.000,6.000,55000.00,330000.00
9,henessy,0.000,5.000,5.000,5.000,-19.000,24.000,280000.00,6720000.00
,,,,,,,,,
,TOTALS,0.000,211.000,211.000,211.000,-59.000,270.000,,10795000.00
